Currency,Curve,Close Date,Forward Start Date,Forward Start Date Index,Maturity,Implied
AUD,AUD_6M,2000-06-01,2000-12-20,2,30Y,0.068013845
AUD,AUD_6M,2000-06-02,2000-06-05,0,3Y,0.066241
AUD,AUD_6M,2000-06-02,2000-06-05,0,5Y,0.066782486
AUD,AUD_6M,2000-06-02,2000-06-05,0,7Y,0.067079788
AUD,AUD_6M,2000-06-02,2000-06-05,0,10Y,0.067381604
AUD,AUD_6M,2000-06-02,2000-06-05,0,30Y,0.067819845
AUD,AUD_6M,2000-06-02,2000-06-21,1,3Y,0.066339556
AUD,AUD_6M,2000-06-02,2000-06-21,1,5Y,0.066840582
AUD,AUD_6M,2000-06-02,2000-06-21,1,7Y,0.067127393
AUD,AUD_6M,2000-06-02,2000-06-21,1,10Y,0.067419711
AUD,AUD_6M,2000-06-02,2000-06-21,1,30Y,0.06784069599999999
AUD,AUD_6M,2000-06-02,2000-12-20,2,3Y,0.067139512
AUD,AUD_6M,2000-06-02,2000-12-20,2,5Y,0.067332328
AUD,AUD_6M,2000-06-02,2000-12-20,2,7Y,0.067525213
AUD,AUD_6M,2000-06-02,2000-12-20,2,10Y,0.067758435
AUD,AUD_6M,2000-06-02,2000-12-20,2,30Y,0.068011739
AUD,AUD_6M,2000-06-05,2000-06-06,0,3Y,0.06568099999999999
AUD,AUD_6M,2000-06-05,2000-06-06,0,5Y,0.066383102
AUD,AUD_6M,2000-06-05,2000-06-06,0,7Y,0.066879837
AUD,AUD_6M,2000-06-05,2000-06-06,0,10Y,0.067281908
AUD,AUD_6M,2000-06-05,2000-06-06,0,30Y,0.067820256
AUD,AUD_6M,2000-06-05,2000-06-21,1,3Y,0.065771063
AUD,AUD_6M,2000-06-05,2000-06-21,1,5Y,0.066439536
AUD,AUD_6M,2000-06-05,2000-06-21,1,7Y,0.066926942
AUD,AUD_6M,2000-06-05,2000-06-21,1,10Y,0.067318944
AUD,AUD_6M,2000-06-05,2000-06-21,1,30Y,0.067839999
AUD,AUD_6M,2000-06-05,2000-12-20,2,3Y,0.066564157
AUD,AUD_6M,2000-06-05,2000-12-20,2,5Y,0.066979567
AUD,AUD_6M,2000-06-05,2000-12-20,2,7Y,0.067356314
AUD,AUD_6M,2000-06-05,2000-12-20,2,10Y,0.067678513
AUD,AUD_6M,2000-06-05,2000-12-20,2,30Y,0.068024591
AUD,AUD_6M,2000-06-06,2000-06-07,0,3Y,0.06542861700000001
AUD,AUD_6M,2000-06-06,2000-06-07,0,5Y,0.06602306200000001
AUD,AUD_6M,2000-06-06,2000-06-07,0,7Y,0.066419807
AUD,AUD_6M,2000-06-06,2000-06-07,0,10Y,0.06682212
AUD,AUD_6M,2000-06-06,2000-06-07,0,30Y,0.067320095
AUD,AUD_6M,2000-06-06,2000-06-21,1,3Y,0.065505626
AUD,AUD_6M,2000-06-06,2000-06-21,1,5Y,0.066070336
AUD,AUD_6M,2000-06-06,2000-06-21,1,7Y,0.066460168
AUD,AUD_6M,2000-06-06,2000-06-21,1,10Y,0.066854829
AUD,AUD_6M,2000-06-06,2000-06-21,1,30Y,0.067337292
AUD,AUD_6M,2000-06-06,2000-12-20,2,3Y,0.06629262799999999
AUD,AUD_6M,2000-06-06,2000-12-20,2,5Y,0.06655631599999999
AUD,AUD_6M,2000-06-06,2000-12-20,2,7Y,0.06686022900000001
AUD,AUD_6M,2000-06-06,2000-12-20,2,10Y,0.06718858
AUD,AUD_6M,2000-06-06,2000-12-20,2,30Y,0.067503762
AUD,AUD_6M,2000-06-07,2000-06-08,0,3Y,0.065479865
AUD,AUD_6M,2000-06-07,2000-06-08,0,5Y,0.066023385
AUD,AUD_6M,2000-06-07,2000-06-08,0,7Y,0.066580052
AUD,AUD_6M,2000-06-07,2000-06-08,0,10Y,0.066982371
AUD,AUD_6M,2000-06-07,2000-06-08,0,30Y,0.067480365
AUD,AUD_6M,2000-06-07,2000-06-21,1,3Y,0.065554344
AUD,AUD_6M,2000-06-07,2000-06-21,1,5Y,0.06606875599999999
AUD,AUD_6M,2000-06-07,2000-06-21,1,7Y,0.066620653
AUD,AUD_6M,2000-06-07,2000-06-21,1,10Y,0.067014203
AUD,AUD_6M,2000-06-07,2000-06-21,1,30Y,0.06749699299999999
AUD,AUD_6M,2000-06-07,2000-12-20,2,3Y,0.066334935
AUD,AUD_6M,2000-06-07,2000-12-20,2,5Y,0.066588727
AUD,AUD_6M,2000-06-07,2000-12-20,2,7Y,0.067029489
AUD,AUD_6M,2000-06-07,2000-12-20,2,10Y,0.067357248
AUD,AUD_6M,2000-06-07,2000-12-20,2,30Y,0.067668781
AUD,AUD_6M,2000-06-08,2000-06-09,0,3Y,0.06599058599999999
AUD,AUD_6M,2000-06-08,2000-06-09,0,5Y,0.066623368
AUD,AUD_6M,2000-06-08,2000-06-09,0,7Y,0.06717911
AUD,AUD_6M,2000-06-08,2000-06-09,0,10Y,0.067582287
AUD,AUD_6M,2000-06-08,2000-06-09,0,30Y,0.068080429
AUD,AUD_6M,2000-06-08,2000-06-21,1,3Y,0.06607068099999999
AUD,AUD_6M,2000-06-08,2000-06-21,1,5Y,0.066670047
AUD,AUD_6M,2000-06-08,2000-06-21,1,7Y,0.067218431
AUD,AUD_6M,2000-06-08,2000-06-21,1,10Y,0.067614541
AUD,AUD_6M,2000-06-08,2000-06-21,1,30Y,0.068097327
AUD,AUD_6M,2000-06-08,2000-12-20,2,3Y,0.06693218
AUD,AUD_6M,2000-06-08,2000-12-20,2,5Y,0.067213358
AUD,AUD_6M,2000-06-08,2000-12-20,2,7Y,0.067647407
AUD,AUD_6M,2000-06-08,2000-12-20,2,10Y,0.06797147
AUD,AUD_6M,2000-06-08,2000-12-20,2,30Y,0.068280397
AUD,AUD_6M,2000-06-09,2000-06-12,0,3Y,0.065425135
AUD,AUD_6M,2000-06-09,2000-06-12,0,5Y,0.06607872
AUD,AUD_6M,2000-06-09,2000-06-12,0,7Y,0.066276713
AUD,AUD_6M,2000-06-09,2000-06-12,0,10Y,0.066719515
AUD,AUD_6M,2000-06-09,2000-06-12,0,30Y,0.067121522
AUD,AUD_6M,2000-06-09,2000-06-21,1,3Y,0.065480676
AUD,AUD_6M,2000-06-09,2000-06-21,1,5Y,0.066109421
AUD,AUD_6M,2000-06-09,2000-06-21,1,7Y,0.066302045
AUD,AUD_6M,2000-06-09,2000-06-21,1,10Y,0.06674001
AUD,AUD_6M,2000-06-09,2000-06-21,1,30Y,0.067129946
AUD,AUD_6M,2000-06-09,2000-12-20,2,3Y,0.066285314
AUD,AUD_6M,2000-06-09,2000-12-20,2,5Y,0.066526663
AUD,AUD_6M,2000-06-09,2000-12-20,2,7Y,0.066667027
AUD,AUD_6M,2000-06-09,2000-12-20,2,10Y,0.06704747700000001
AUD,AUD_6M,2000-06-09,2000-12-20,2,30Y,0.06728014
AUD,AUD_6M,2000-06-12,2000-06-13,0,3Y,0.065831
AUD,AUD_6M,2000-06-12,2000-06-13,0,5Y,0.066521908
AUD,AUD_6M,2000-06-12,2000-06-13,0,7Y,0.066719551
AUD,AUD_6M,2000-06-12,2000-06-13,0,10Y,0.067121684
AUD,AUD_6M,2000-06-12,2000-06-13,0,30Y,0.067520365
AUD,AUD_6M,2000-06-12,2000-06-21,1,3Y,0.065887449
AUD,AUD_6M,2000-06-12,2000-06-21,1,5Y,0.066552135
AUD,AUD_6M,2000-06-12,2000-06-21,1,7Y,0.06674382400000001
AUD,AUD_6M,2000-06-12,2000-06-21,1,10Y,0.067141176
AUD,AUD_6M,2000-06-12,2000-06-21,1,30Y,0.06753067900000001
AUD,AUD_6M,2000-06-12,2000-12-20,2,3Y,0.066752727
AUD,AUD_6M,2000-06-12,2000-12-20,2,5Y,0.067009192
AUD,AUD_6M,2000-06-12,2000-12-20,2,7Y,0.067139185
AUD,AUD_6M,2000-06-12,2000-12-20,2,10Y,0.06746682
AUD,AUD_6M,2000-06-12,2000-12-20,2,30Y,0.067693982
AUD,AUD_6M,2000-06-13,2000-06-14,0,3Y,0.064461
AUD,AUD_6M,2000-06-13,2000-06-14,0,5Y,0.065183166
AUD,AUD_6M,2000-06-13,2000-06-14,0,7Y,0.065719885
AUD,AUD_6M,2000-06-13,2000-06-14,0,10Y,0.066122196
AUD,AUD_6M,2000-06-13,2000-06-14,0,30Y,0.06658029
AUD,AUD_6M,2000-06-13,2000-06-21,1,3Y,0.064491723
AUD,AUD_6M,2000-06-13,2000-06-21,1,5Y,0.06520535200000001
AUD,AUD_6M,2000-06-13,2000-06-21,1,7Y,0.065739335
AUD,AUD_6M,2000-06-13,2000-06-21,1,10Y,0.06613665
AUD,AUD_6M,2000-06-13,2000-06-21,1,30Y,0.06658795099999999
AUD,AUD_6M,2000-06-13,2000-12-20,2,3Y,0.06519715
AUD,AUD_6M,2000-06-13,2000-12-20,2,5Y,0.065680609
AUD,AUD_6M,2000-06-13,2000-12-20,2,7Y,0.066120145
AUD,AUD_6M,2000-06-13,2000-12-20,2,10Y,0.06644233599999999
AUD,AUD_6M,2000-06-13,2000-12-20,2,30Y,0.06673836799999999
AUD,AUD_6M,2000-06-14,2000-06-15,0,3Y,0.065381939
AUD,AUD_6M,2000-06-14,2000-06-15,0,5Y,0.066023366
AUD,AUD_6M,2000-06-14,2000-06-15,0,7Y,0.066720038
AUD,AUD_6M,2000-06-14,2000-06-15,0,10Y,0.067322405
AUD,AUD_6M,2000-06-14,2000-06-15,0,30Y,0.067780122
AUD,AUD_6M,2000-06-14,2000-06-21,1,3Y,0.065413385
AUD,AUD_6M,2000-06-14,2000-06-21,1,5Y,0.06604640099999999
AUD,AUD_6M,2000-06-14,2000-06-21,1,7Y,0.066740571
AUD,AUD_6M,2000-06-14,2000-06-21,1,10Y,0.067338358
AUD,AUD_6M,2000-06-14,2000-06-21,1,30Y,0.06778849299999999
AUD,AUD_6M,2000-06-14,2000-12-20,2,3Y,0.066104707
AUD,AUD_6M,2000-06-14,2000-12-20,2,5Y,0.066603173
AUD,AUD_6M,2000-06-14,2000-12-20,2,7Y,0.06719444299999999
AUD,AUD_6M,2000-06-14,2000-12-20,2,10Y,0.06769768599999999
AUD,AUD_6M,2000-06-14,2000-12-20,2,30Y,0.067970942
AUD,AUD_6M,2000-06-15,2000-06-16,0,3Y,0.065482967
AUD,AUD_6M,2000-06-15,2000-06-16,0,5Y,0.06612325599999999
AUD,AUD_6M,2000-06-15,2000-06-16,0,7Y,0.066819954
AUD,AUD_6M,2000-06-15,2000-06-16,0,10Y,0.067482286
AUD,AUD_6M,2000-06-15,2000-06-16,0,30Y,0.06792006
AUD,AUD_6M,2000-06-15,2000-06-21,1,3Y,0.065513121
AUD,AUD_6M,2000-06-15,2000-06-21,1,5Y,0.066142854
AUD,AUD_6M,2000-06-15,2000-06-21,1,7Y,0.06683544200000001
AUD,AUD_6M,2000-06-15,2000-06-21,1,10Y,0.06749618
AUD,AUD_6M,2000-06-15,2000-06-21,1,30Y,0.067927337
AUD,AUD_6M,2000-06-15,2000-12-20,2,3Y,0.066281103
AUD,AUD_6M,2000-06-15,2000-12-20,2,5Y,0.066723007
AUD,AUD_6M,2000-06-15,2000-12-20,2,7Y,0.067320401
AUD,AUD_6M,2000-06-15,2000-12-20,2,10Y,0.067872714
AUD,AUD_6M,2000-06-15,2000-12-20,2,30Y,0.068120873
AUD,AUD_6M,2000-06-16,2000-06-19,0,3Y,0.06543099999999999
AUD,AUD_6M,2000-06-16,2000-06-19,0,5Y,0.06602250900000001
AUD,AUD_6M,2000-06-16,2000-06-19,0,7Y,0.06677999400000001
AUD,AUD_6M,2000-06-16,2000-06-19,0,10Y,0.067421762
AUD,AUD_6M,2000-06-16,2000-06-19,0,30Y,0.067879905
AUD,AUD_6M,2000-06-16,2000-06-21,1,3Y,0.06544565299999999
AUD,AUD_6M,2000-06-16,2000-06-21,1,5Y,0.066029668
AUD,AUD_6M,2000-06-16,2000-06-21,1,7Y,0.06678704099999999
AUD,AUD_6M,2000-06-16,2000-06-21,1,10Y,0.067426535
AUD,AUD_6M,2000-06-16,2000-06-21,1,30Y,0.067882965
AUD,AUD_6M,2000-06-16,2000-12-20,2,3Y,0.06617607
AUD,AUD_6M,2000-06-16,2000-12-20,2,5Y,0.066610787
AUD,AUD_6M,2000-06-16,2000-12-20,2,7Y,0.067269507
AUD,AUD_6M,2000-06-16,2000-12-20,2,10Y,0.06780637099999999
AUD,AUD_6M,2000-06-16,2000-12-20,2,30Y,0.068076599
AUD,AUD_6M,2000-06-19,2000-06-20,0,3Y,0.065221
AUD,AUD_6M,2000-06-19,2000-06-20,0,5Y,0.065883092
AUD,AUD_6M,2000-06-19,2000-06-20,0,7Y,0.066279829
AUD,AUD_6M,2000-06-19,2000-06-20,0,10Y,0.066881917
AUD,AUD_6M,2000-06-19,2000-06-20,0,30Y,0.06732002
AUD,AUD_6M,2000-06-19,2000-06-21,1,3Y,0.065230691
AUD,AUD_6M,2000-06-19,2000-06-21,1,5Y,0.065887005
AUD,AUD_6M,2000-06-19,2000-06-21,1,7Y,0.06628306
AUD,AUD_6M,2000-06-19,2000-06-21,1,10Y,0.066884277
AUD,AUD_6M,2000-06-19,2000-06-21,1,30Y,0.067321454
AUD,AUD_6M,2000-06-19,2000-12-20,2,3Y,0.065978871
AUD,AUD_6M,2000-06-19,2000-12-20,2,5Y,0.066397211
AUD,AUD_6M,2000-06-19,2000-12-20,2,7Y,0.066727287
AUD,AUD_6M,2000-06-19,2000-12-20,2,10Y,0.06723868
AUD,AUD_6M,2000-06-19,2000-12-20,2,30Y,0.067500021
AUD,AUD_6M,2000-06-20,2000-06-21,0,3Y,0.065731
AUD,AUD_6M,2000-06-20,2000-06-21,0,5Y,0.066423234
AUD,AUD_6M,2000-06-20,2000-06-21,0,7Y,0.06707993799999999
AUD,AUD_6M,2000-06-20,2000-06-21,0,10Y,0.067722312
AUD,AUD_6M,2000-06-20,2000-06-21,0,30Y,0.067980109
AUD,AUD_6M,2000-06-20,2000-06-21,0,3Y,0.065731
AUD,AUD_6M,2000-06-20,2000-06-21,0,5Y,0.066423234
AUD,AUD_6M,2000-06-20,2000-06-21,0,7Y,0.06707993799999999
AUD,AUD_6M,2000-06-20,2000-06-21,0,10Y,0.067722312
AUD,AUD_6M,2000-06-20,2000-06-21,0,30Y,0.067980109
AUD,AUD_6M,2000-06-20,2000-12-20,2,3Y,0.066546484
AUD,AUD_6M,2000-06-20,2000-12-20,2,5Y,0.067026327
AUD,AUD_6M,2000-06-20,2000-12-20,2,7Y,0.067583978
AUD,AUD_6M,2000-06-20,2000-12-20,2,10Y,0.068123276
AUD,AUD_6M,2000-06-20,2000-12-20,2,30Y,0.068176902
AUD,AUD_6M,2000-06-21,2000-06-22,0,3Y,0.066392145
AUD,AUD_6M,2000-06-21,2000-06-22,0,5Y,0.067123456
AUD,AUD_6M,2000-06-21,2000-06-22,0,7Y,0.067820108
AUD,AUD_6M,2000-06-21,2000-06-22,0,10Y,0.068482478
AUD,AUD_6M,2000-06-21,2000-06-22,0,30Y,0.06892024
AUD,AUD_6M,2000-06-21,2000-12-20,1,3Y,0.067310808
AUD,AUD_6M,2000-06-21,2000-12-20,1,5Y,0.067787755
AUD,AUD_6M,2000-06-21,2000-12-20,1,7Y,0.06836895
AUD,AUD_6M,2000-06-21,2000-12-20,1,10Y,0.068925372
AUD,AUD_6M,2000-06-21,2000-12-20,1,30Y,0.069147662
AUD,AUD_6M,2000-06-21,2001-06-20,2,3Y,0.067842199
AUD,AUD_6M,2000-06-21,2001-06-20,2,5Y,0.068241247
AUD,AUD_6M,2000-06-21,2001-06-20,2,7Y,0.068719048
AUD,AUD_6M,2000-06-21,2001-06-20,2,10Y,0.06920542
AUD,AUD_6M,2000-06-21,2001-06-20,2,30Y,0.069288411
AUD,AUD_6M,2000-06-22,2000-06-23,0,3Y,0.066703125
AUD,AUD_6M,2000-06-22,2000-06-23,0,5Y,0.06752335799999999
AUD,AUD_6M,2000-06-22,2000-06-23,0,7Y,0.068279962
AUD,AUD_6M,2000-06-22,2000-06-23,0,10Y,0.06898230799999999
AUD,AUD_6M,2000-06-22,2000-06-23,0,30Y,0.069481104
AUD,AUD_6M,2000-06-22,2000-12-20,1,3Y,0.06768964200000001
AUD,AUD_6M,2000-06-22,2000-12-20,1,5Y,0.068239347
AUD,AUD_6M,2000-06-22,2000-12-20,1,7Y,0.06887062099999999
AUD,AUD_6M,2000-06-22,2000-12-20,1,10Y,0.069456621
AUD,AUD_6M,2000-06-22,2000-12-20,1,30Y,0.069730263
AUD,AUD_6M,2000-06-22,2001-06-20,2,3Y,0.06830895299999999
AUD,AUD_6M,2000-06-22,2001-06-20,2,5Y,0.068761538
AUD,AUD_6M,2000-06-22,2001-06-20,2,7Y,0.069275962
AUD,AUD_6M,2000-06-22,2001-06-20,2,10Y,0.06977519900000001
AUD,AUD_6M,2000-06-22,2001-06-20,2,30Y,0.069899987
AUD,AUD_6M,2000-06-23,2000-06-26,0,3Y,0.06640089
AUD,AUD_6M,2000-06-23,2000-06-26,0,5Y,0.067222351
AUD,AUD_6M,2000-06-23,2000-06-26,0,7Y,0.067879722
AUD,AUD_6M,2000-06-23,2000-06-26,0,10Y,0.068581463
AUD,AUD_6M,2000-06-23,2000-06-26,0,30Y,0.069081715
AUD,AUD_6M,2000-06-23,2000-12-20,1,3Y,0.067339816
AUD,AUD_6M,2000-06-23,2000-12-20,1,5Y,0.067886137
AUD,AUD_6M,2000-06-23,2000-12-20,1,7Y,0.06843727299999999
AUD,AUD_6M,2000-06-23,2000-12-20,1,10Y,0.069031069
AUD,AUD_6M,2000-06-23,2000-12-20,1,30Y,0.069314424
AUD,AUD_6M,2000-06-23,2001-06-20,2,3Y,0.06794088
AUD,AUD_6M,2000-06-23,2001-06-20,2,5Y,0.068357136
AUD,AUD_6M,2000-06-23,2001-06-20,2,7Y,0.068824149
AUD,AUD_6M,2000-06-23,2001-06-20,2,10Y,0.06933449
AUD,AUD_6M,2000-06-23,2001-06-20,2,30Y,0.06947289599999999
AUD,AUD_6M,2000-06-26,2000-06-27,0,3Y,0.066291
AUD,AUD_6M,2000-06-26,2000-06-27,0,5Y,0.067182902
AUD,AUD_6M,2000-06-26,2000-06-27,0,7Y,0.06818966900000001
AUD,AUD_6M,2000-06-26,2000-06-27,0,10Y,0.068921749
AUD,AUD_6M,2000-06-26,2000-06-27,0,30Y,0.06918034299999999
AUD,AUD_6M,2000-06-26,2000-12-20,1,3Y,0.067211268
AUD,AUD_6M,2000-06-26,2000-12-20,1,5Y,0.067825565
AUD,AUD_6M,2000-06-26,2000-12-20,1,7Y,0.068800764
AUD,AUD_6M,2000-06-26,2000-12-20,1,10Y,0.069370712
AUD,AUD_6M,2000-06-26,2000-12-20,1,30Y,0.06941188599999999
AUD,AUD_6M,2000-06-26,2001-06-20,2,3Y,0.067884912
AUD,AUD_6M,2000-06-26,2001-06-20,2,5Y,0.06835179200000001
AUD,AUD_6M,2000-06-26,2001-06-20,2,7Y,0.069235591
AUD,AUD_6M,2000-06-26,2001-06-20,2,10Y,0.069699184
AUD,AUD_6M,2000-06-26,2001-06-20,2,30Y,0.069580937
AUD,AUD_6M,2000-06-27,2000-06-28,0,3Y,0.065881
AUD,AUD_6M,2000-06-27,2000-06-28,0,5Y,0.066723248
AUD,AUD_6M,2000-06-27,2000-06-28,0,7Y,0.067479949
AUD,AUD_6M,2000-06-27,2000-06-28,0,10Y,0.06822233400000001
AUD,AUD_6M,2000-06-27,2000-06-28,0,30Y,0.068720317
AUD,AUD_6M,2000-06-27,2000-12-20,1,3Y,0.066706111
AUD,AUD_6M,2000-06-27,2000-12-20,1,5Y,0.067340254
AUD,AUD_6M,2000-06-27,2000-12-20,1,7Y,0.067998682
AUD,AUD_6M,2000-06-27,2000-12-20,1,10Y,0.06865479599999999
AUD,AUD_6M,2000-06-27,2000-12-20,1,30Y,0.068934736
AUD,AUD_6M,2000-06-27,2001-06-20,2,3Y,0.067309434
AUD,AUD_6M,2000-06-27,2001-06-20,2,5Y,0.06782923099999999
AUD,AUD_6M,2000-06-27,2001-06-20,2,7Y,0.068383347
AUD,AUD_6M,2000-06-27,2001-06-20,2,10Y,0.068980163
AUD,AUD_6M,2000-06-27,2001-06-20,2,30Y,0.06909076900000001
AUD,AUD_6M,2000-06-28,2000-06-29,0,3Y,0.06614099999999999
AUD,AUD_6M,2000-06-28,2000-06-29,0,5Y,0.066982786
AUD,AUD_6M,2000-06-28,2000-06-29,0,7Y,0.067619598
AUD,AUD_6M,2000-06-28,2000-06-29,0,10Y,0.068321765
